timingframework;trident;false
nailgun;hk2;false
archetype-common;jetty-client;false
jbullet;jME3-jbullet;true
nailgun;tiger-types;false
jemmy;jinterface;false
stanford-corenlp;opennlp;false
pig;mx4j;false
weka;maxent;false
cucumber;mule;false
glassfish;jmeter;false
hbase;asynchbase;false
piccolo2d;json-path;false
stringtemplate;lambdaj;false
openejb;inflector;false
solder;deltaspike;true
stanford-corenlp;lucene-snowball;false
jogl.all;eventbus;false
morphia;reflectasm;false
pig;jug;false
eclipselink;equalsverifier;false
apache-tika;ezmorph;false
swing-layout;java-getopt;false
pluto;shared-ldif;false
ajax4jsf;org.wikimodel.wem;false
hbase;async;true
akka-actor;morphia;false
jogl.all;slick;false
lwjgl;eventbus;false
libthrift;hector;false
shared-cursor;shared-i18n;false
zweb;lambdaj;false
martyr;eventbus;false
pcj;caliper;false
urlrewrite;isorelax;true
roboguice;android-directionalviewpager;false
akka-actor;joda-money;false
hbase;hadoop-hive;false
axis2;castor;false
akka-actor;apache-karaf;false
urlrewrite;relaxngDatatype;false
jaxme;greenmail;false
gunit;scannotation;false
jxl;xsd;false
httpasyncclient;greenmail;false
bndlib;commons-discovery;false
kahadb;vaadin;false
jakarta-regexp;jlayer;false
javolution;jbullet;false
jcifs;javacc;false
sitemesh;lambdaj;false
ical4j;TableLayout;false
resin;lambdaj;false
commons-jexl;jdbm;false
picocontainer;iogi;false
amqp-client;elasticsearch;false
je;ch-sevenzip;false
webmacro;jlayer;false
jbullet;jinput;false
rxtx;lambdaj;false
amqp-client;disruptor;true
solr;juniversalchardet;false
nailgun;requestfactory;false
stringtemplate;colt;false
jcommander;jinput;false
je;perf4j;false
apacheds;org.wikimodel.wem;false
classworlds;insight;false
pircbot;TableLayout;false
javolution;esapi;false
lwjgl;jinput;false
solr;jchardet;false
abdera;ezmorph;false
commons-net;jlayer;false
lite;liquibase;false
pcj;mahout;true
opencsv;org.wikimodel.wem;false
mvel2;clojure;false
struts2;aether-connector;false
mockobjects;jwebunit;false
xmlrpc;aether-connector;false
rxtx;zweb;false
jxlayer;sanselan;false
ognl;aether-connector;false
swing-layout;jgrapht;false
httpasyncclient;xml-resolver;false
commons-vfs;juniversalchardet;false
Permissions;bukkit-permissions;false
archetype-common;cometd;false
xwork-core;aether-connector;false
jsyntaxpane;jide-oss;true
urlrewrite;xml-resolver;false
jcifs;xml-resolver;false
jaxme;xml-resolver;false
richfaces;org.wikimodel.wem;false
