bsh;httpclient;1
log4j;openejb;1
standard;commons-compress;1
commons-validator;sitemesh;1
stringtemplate;mvel2;1
commons-jelly;org.eclipse.jdt.core;1
jline;jboss;1
dom4j;commons-lang;1
morphia;guice;1
zookeeper;jug;1
testng;jboss;1
idb;commons-math;1
mysql-connector-java;jfreechart;1
tomcat;c3p0;1
guice;osgi;1
commons-configuration;dom4j;1
commons-beanutils;commons-httpclient;1
xstream;jackson;1
commons-io;grizzly;1
ecore;junit;1
commons-lang;argo;1
axis;guava;1
akka-actor;commons-io;1
appframework;commons-codec;1
maven;jcommander;1
postgresql;blazeds;1
checkstyle;commons-lang;1
htmlcleaner;nekohtml;1
svnkit;hsqldb;1
jsch;appengine;1
juli;jetty-mortbay;1
hbase;gwt-google;1
swing-layout;jide-oss;1
ognl;jackson;1
urlrewrite;xml-resolver;1
mysql-connector-java;tomcat;1
xstream;dom4j;1
saxon;mysql-connector-java;1
itext;asm;1
xmlParserAPIs;simple-xml;1
itext;subethasmtp;1
opencsv;httpcore;1
org.eclipse.jdt.core;commons-io;1
xwork-core;jackson;1
commons-codec;glassfish;1
classworlds;insight;1
slf4j;c3p0;1
xalan;jsoup;1
easymock;httpcore;1
swingx;httpclient;1
junit;dnsjava;1
scala;guice;1
xmlParserAPIs;spring;1
commons-logging;async-http-client;1
twitter4j;testng;1
neo4j;blueprints;1
commons-pool;collections-generic;1
aopalliance;joda-time;1
swingx;hibernate;1
org.eclipse.swt;icu4j;1
junit;jinterface;1
javolution;jung;1
backport-util-concurrent;org.restlet;1
commons-codec;esapi;1
groovy;greenmail;1
db4o;org.eclipse;1
pdfbox;commons-lang;1
jetty-mortbay;commons-el;1
xmlParserAPIs;commons-collections;1
commons-collections;xmlParserAPIs;1
log4j;oscache;1
ajax4jsf;json-lib;1
log4j;arquillian;1
groovy;aspectjweaver;1
shared-ldap;itext;1
xerces;junitperf;1
zweb;lambdaj;1
pull-parser;ant;1
slf4j;weld;1
org.json;scala;1
xerces;xmlgraphics-commons;1
filters;jpf;1
jetty-mortbay;opennlp;1
xerces;xmlParserAPIs;1
hamcrest;jansi;1
jdom;guice;1
solder;mockito;1
jetty-mortbay;tapestry;1
slf4j;isorelax;1
commons-lang;icefaces;1
asm;markdownj;1
jgroups;jmockit;1
odfdom-java;slf4j;1
jemmy;jinterface;1
yuicompressor;junit;1
commons-vfs;xmlParserAPIs;1
akka-actor;jline;1
argo;jmock;1
commons-lang;jmock;1
itext;velocity;1
log4j;hsqldb;1
bcel;jfreechart;1
commons-configuration;balloontip;1
